director,movie,rank,year,critic_cn,critic,critic_org
Pedro Almodóvar, Talk to Her ,6,2002,South Korea,Soh Jae Yong,Seoul Institute of the Arts
Bong Joon-ho, Memories of Murder ,7,2003,South Korea,Soh Jae Yong,Seoul Institute of the Arts
Andrew Stanton, WALL-E ,8,2008,South Korea,Soh Jae Yong,Seoul Institute of the Arts
Michael Moore, Bowling for Columbine ,9,2002,South Korea,Soh Jae Yong,Seoul Institute of the Arts
Alfonso Cuarón, Children of Men ,10,2006,South Korea,Soh Jae Yong,Seoul Institute of the Arts
David Lynch, Mulholland Drive ,1,2001,Mexico,Fernanda Solórzano,Letras Libres Magazine
László Nemes, Son of Saul ,2,2015,Mexico,Fernanda Solórzano,Letras Libres Magazine
PaweÅ Pawlikowski, Ida ,3,2013,Mexico,Fernanda Solórzano,Letras Libres Magazine
Michel Gondry, Eternal Sunshine of the Spotless Mind ,4,2004,Mexico,Fernanda Solórzano,Letras Libres Magazine
Michael Haneke, The White Ribbon ,5,2009,Mexico,Fernanda Solórzano,Letras Libres Magazine
Hirokazu Koreeda, Still Walking ,6,2008,Mexico,Fernanda Solórzano,Letras Libres Magazine
Joshua Oppenheimer, The Act of Killing ,7,2012,Mexico,Fernanda Solórzano,Letras Libres Magazine
Lars von Trier, Dogville ,8,2003,Mexico,Fernanda Solórzano,Letras Libres Magazine
Alejandro González Iñárritu, Birdman ,9,2014,Mexico,Fernanda Solórzano,Letras Libres Magazine
Werner Herzog, Grizzly Man ,10,2005,Mexico,Fernanda Solórzano,Letras Libres Magazine
Michael Haneke, Amour ,1,2012,Australia,David Stratton,The Australian
Nuri Bilge Ceylan, Distant ,2,2002,Australia,David Stratton,The Australian
Asghar Farhadi, A Separation ,3,2011,Australia,David Stratton,The Australian
Warwick Thornton, Samson & Delilah ,4,2009,Australia,David Stratton,The Australian
Andrey Zvyagintsev, Leviathan ,5,2014,Australia,David Stratton,The Australian
Hirokazu Koreeda, Still Walking ,6,2008,Australia,David Stratton,The Australian
Pedro Almodóvar, Talk to Her ,7,2002,Australia,David Stratton,The Australian
Clint Eastwood, Million Dollar Baby ,8,2004,Australia,David Stratton,The Australian
Joel and Ethan Coen, No Country For Old Men ,9,2007,Australia,David Stratton,The Australian
Aki Kaurismäki, The Man Without A Past ,10,2002,Australia,David Stratton,The Australian
Raoul Ruiz, Mysteries of Lisbon ,1,2010,Italy,Cédric Succivalli,International Cinephile Society
Kenneth Lonergan, Margaret ,2,2011,Italy,Cédric Succivalli,International Cinephile Society
Terrence Malick, The New World ,3,2005,Italy,Cédric Succivalli,International Cinephile Society
Jean-Claude Brisseau, Secret Things ,4,2002,Italy,Cédric Succivalli,International Cinephile Society
Lucrecia Martel, La Ciénaga ,5,2001,Italy,Cédric Succivalli,International Cinephile Society
Maren Ade, Toni Erdmann ,6,2016,Italy,Cédric Succivalli,International Cinephile Society
Patrick Wang, In the Family ,7,2011,Italy,Cédric Succivalli,International Cinephile Society
Miguel Gomes, Tabu ,8,2012,Italy,Cédric Succivalli,International Cinephile Society
Gus Van Sant, Gerry ,9,2002,Italy,Cédric Succivalli,International Cinephile Society
Apichatpong Weerasethakul, Tropical Malady ,10,2004,Italy,Cédric Succivalli,International Cinephile Society
Béla Tarr and Ágnes Hranitzky, The Turin Horse ,1,2011,Turkey,Alin Tasciyan,Star
Andrey Zvyagintsev, The Return ,2,2003,Turkey,Alin Tasciyan,Star
Michael Haneke, The White Ribbon ,3,2009,Turkey,Alin Tasciyan,Star
Wong Kar-wai, In the Mood for Love ,4,2000,Turkey,Alin Tasciyan,Star
Roy Andersson, Songs from the Second Floor ,5,2000,Turkey,Alin Tasciyan,Star
Tsai Ming-liang, Journey to the West ,6,2014,Turkey,Alin Tasciyan,Star
Pirjo Honkasalo, The 3 Rooms of Melancholia ,7,2004,Turkey,Alin Tasciyan,Star
Agnès Varda, The Gleaners and I ,8,2000,Turkey,Alin Tasciyan,Star
Hayao Miyazaki, Spirited Away ,9,2001,Turkey,Alin Tasciyan,Star
Carlos Reygadas, Japon ,10,2002,Turkey,Alin Tasciyan,Star
Abdellatif Kechiche, Blue Is the Warmest Color ,1,2013,US,Charles Taylor,The Yale Review
Jim Jarmusch, Only Lovers Left Alive ,2,2013,US,Charles Taylor,The Yale Review
David Lynch, Mulholland Drive ,3,2001,US,Charles Taylor,The Yale Review
Sofia Coppola, Somewhere ,4,2010,US,Charles Taylor,The Yale Review
Spike Lee, 25th Hour ,5,2002,US,Charles Taylor,The Yale Review
Quentin Tarantino, Inglourious Basterds ,6,2009,US,Charles Taylor,The Yale Review
Michel Hazanavicius, The Artist ,7,2011,US,Charles Taylor,The Yale Review
Christian Petzold, Phoenix ,8,2014,US,Charles Taylor,The Yale Review
Brian De Palma, Femme Fatale ,9,2002,US,Charles Taylor,The Yale Review
Wes Anderson, Fantastic Mr Fox ,10,2009,US,Charles Taylor,The Yale Review
Kleber Mendonça Filho, Neighboring Sounds ,1,2012,US,Ella Taylor,NPR.org
Paul Thomas Anderson, The Master ,2,2012,US,Ella Taylor,NPR.org
Eran Kolirin, The Band’s Visit ,3,2007,US,Ella Taylor,NPR.org
Laurent Cantet, Time Out ,4,2001,US,Ella Taylor,NPR.org
Kenneth Lonergan, Margaret ,5,2011,US,Ella Taylor,NPR.org
Brad Bird and Jan Pinkava, Ratatouille ,6,2007,US,Ella Taylor,NPR.org
Agnieszka Holland, Burning Bush ,7,2013,US,Ella Taylor,NPR.org
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",8,2007,US,Ella Taylor,NPR.org
Andrey Zvyagintsev, Leviathan ,9,2014,US,Ella Taylor,NPR.org
Christian Petzold, Barbara ,10,2012,US,Ella Taylor,NPR.org
Hou Hsiao-hsien, The Assassin ,1,2015,Singapore,Stephen Teo,Nanyang Techological University
Wes Anderson, The Grand Budapest Hotel ,2,2014,Singapore,Stephen Teo,Nanyang Techological University
Christopher Nolan, Inception ,3,2010,Singapore,Stephen Teo,Nanyang Techological University
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,4,2010,Singapore,Stephen Teo,Nanyang Techological University
Joshua Oppenheimer, The Act of Killing ,5,2012,Singapore,Stephen Teo,Nanyang Techological University
Joel and Ethan Coen, No Country For Old Men ,6,2007,Singapore,Stephen Teo,Nanyang Techological University
Kim Jee-woon, A Tale of Two Sisters ,7,2003,Singapore,Stephen Teo,Nanyang Techological University
Jia Zhangke, Still Life ,8,2006,Singapore,Stephen Teo,Nanyang Techological University
Hayao Miyazaki, Spirited Away ,9,2001,Singapore,Stephen Teo,Nanyang Techological University
Wong Kar-wai, In the Mood for Love ,10,2000,Singapore,Stephen Teo,Nanyang Techological University
Jean-Luc Godard, Goodbye to Language ,1,2014,US,Kristin Thompson,University of Wisconsin-Madison
Aleksandr Sokurov, Russian Ark ,2,2002,US,Kristin Thompson,University of Wisconsin-Madison
Leos Carax, Holy Motors ,3,2012,US,Kristin Thompson,University of Wisconsin-Madison
Wong Kar-wai, In the Mood for Love ,4,2000,US,Kristin Thompson,University of Wisconsin-Madison
Alfonso Cuarón, Gravity ,5,2013,US,Kristin Thompson,University of Wisconsin-Madison
Paul Thomas Anderson, There Will Be Blood ,6,2007,US,Kristin Thompson,University of Wisconsin-Madison
Asghar Farhadi, About Elly ,7,2009,US,Kristin Thompson,University of Wisconsin-Madison
Wes Anderson, Moonrise Kingdom ,8,2012,US,Kristin Thompson,University of Wisconsin-Madison
Lucrecia Martel, The Headless Woman ,9,2008,US,Kristin Thompson,University of Wisconsin-Madison
Guillermo Del Toro, Pan's Labyrinth ,10,2006,US,Kristin Thompson,University of Wisconsin-Madison
Terrence Malick, The Tree of Life ,1,2011,US,Scott Tobias,Freelance film critic
Richard Linklater, Boyhood ,2,2014,US,Scott Tobias,Freelance film critic
David Fincher, Zodiac ,3,2007,US,Scott Tobias,Freelance film critic
Edward Yang, Yi Yi: A One and a Two ,4,2000,US,Scott Tobias,Freelance film critic
Kenneth Lonergan, Margaret ,5,2011,US,Scott Tobias,Freelance film critic
Kelly Reichardt, Meek's Cutoff ,6,2010,US,Scott Tobias,Freelance film critic
Spike Lee, 25th Hour ,7,2002,US,Scott Tobias,Freelance film critic
Asghar Farhadi, A Separation ,8,2011,US,Scott Tobias,Freelance film critic
Abbas Kiarostami, Certified Copy ,9,2010,US,Scott Tobias,Freelance film critic
Paul Thomas Anderson, There Will Be Blood ,10,2007,US,Scott Tobias,Freelance film critic
David Lynch, Mulholland Drive ,1,2001,US,Peter Travers,Rolling Stone
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Peter Travers,Rolling Stone
Joel and Ethan Coen, No Country For Old Men ,3,2007,US,Peter Travers,Rolling Stone
David Fincher, The Social Network ,4,2010,US,Peter Travers,Rolling Stone
Alfonso Cuarón, Children of Men ,5,2006,US,Peter Travers,Rolling Stone
Martin Scorsese, The Departed ,6,2006,US,Peter Travers,Rolling Stone
Wong Kar-wai, In the Mood for Love ,7,2000,US,Peter Travers,Rolling Stone
Steve McQueen, 12 Years a Slave ,8,2013,US,Peter Travers,Rolling Stone
Christopher Nolan, Memento ,9,2000,US,Peter Travers,Rolling Stone
Kenneth Lonergan, Manchester by the Sea ,10,2016,US,Peter Travers,Rolling Stone
Christopher Nolan, The Dark Knight ,1,2008,US,Brian Truitt,USA Today
George Miller, Mad Max: Fury Road ,2,2015,US,Brian Truitt,USA Today
Anthony and Joe Russo, Captain America: Winter Soldier ,3,2014,US,Brian Truitt,USA Today
J. J. Abrams, Star Wars: Episode VII – The Force Awakens ,4,2015,US,Brian Truitt,USA Today
Richard Curtis, Love Actually ,5,2003,US,Brian Truitt,USA Today
Rian Johnson, Brick ,6,2005,US,Brian Truitt,USA Today
Rob Marshall, Chicago ,7,2002,US,Brian Truitt,USA Today
Ben Stiller, Tropic Thunder ,8,2008,US,Brian Truitt,USA Today
Stephen Frears, High Fidelity ,9,2000,US,Brian Truitt,USA Today
David O. Russell, Silver Linings Playbook ,10,2012,US,Brian Truitt,USA Today
Fernando Meirelles and Kátia Lund, City of God ,1,2002,UK,Rahul Verma,Freelance film critic
Christopher Nolan, The Dark Knight ,2,2008,UK,Rahul Verma,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,3,2006,UK,Rahul Verma,Freelance film critic
Florian Henckel von Donnersmarck, The Lives of Others ,4,2006,UK,Rahul Verma,Freelance film critic
Christopher Morris, Four Lions ,5,2010,UK,Rahul Verma,Freelance film critic
Alejandro González Iñárritu, Amores Perros ,6,2000,UK,Rahul Verma,Freelance film critic
Anurag Kashyap, Gangs of Wasseypur ,7,2012,UK,Rahul Verma,Freelance film critic
Neill Blomkamp, District 9 ,8,2009,UK,Rahul Verma,Freelance film critic
Ashutosh Gowariker, Lagaan: Once Upon a Time in India ,9,2001,UK,Rahul Verma,Freelance film critic
Shane Meadows, This Is England ,10,2006,UK,Rahul Verma,Freelance film critic
David Lynch, Mulholland Drive ,1,2001,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Hou Hsiao-hsien, The Assassin ,2,2015,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Asghar Farhadi, A Separation ,3,2011,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Baz Luhrmann, Moulin Rouge! ,4,2001,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Apichatpong Weerasethakul, Tropical Malady ,5,2004,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Wong Kar-wai, In the Mood for Love ,6,2000,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Hayao Miyazaki, Spirited Away ,7,2001,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",8,2007,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Edward Yang, Yi Yi: A One and a Two ,9,2000,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Michael Moore, Bowling for Columbine ,10,2002,Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
Steve McQueen, Shame ,1,2011,US,Stephen Whitty,Freelance film critic
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Stephen Whitty,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,3,2006,US,Stephen Whitty,Freelance film critic
Pedro Almodóvar, The Skin I Live In ,4,2011,US,Stephen Whitty,Freelance film critic
Richard Linklater, Boyhood ,5,2014,US,Stephen Whitty,Freelance film critic
Kathryn Bigelow, The Hurt Locker ,6,2008,US,Stephen Whitty,Freelance film critic
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",7,2007,US,Stephen Whitty,Freelance film critic
Asghar Farhadi, A Separation ,8,2011,US,Stephen Whitty,Freelance film critic
Wes Anderson, The Royal Tenenbaums ,9,2001,US,Stephen Whitty,Freelance film critic
Joel and Ethan Coen, No Country For Old Men ,10,2007,US,Stephen Whitty,Freelance film critic
Joel and Ethan Coen, No Country For Old Men ,1,2007,US,Alissa Wilkinson,Christianity Today
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Alissa Wilkinson,Christianity Today
Andrew Stanton, WALL-E ,3,2008,US,Alissa Wilkinson,Christianity Today
Tom McCarthy, Spotlight ,4,2015,US,Alissa Wilkinson,Christianity Today
John Carney, Once ,5,2007,US,Alissa Wilkinson,Christianity Today
David Fincher, The Social Network ,6,2010,US,Alissa Wilkinson,Christianity Today
Joshua Oppenheimer, The Act of Killing ,7,2012,US,Alissa Wilkinson,Christianity Today
George Miller, Mad Max: Fury Road ,8,2015,US,Alissa Wilkinson,Christianity Today
Ava DuVernay, Selma ,9,2014,US,Alissa Wilkinson,Christianity Today
Edward Yang, Yi Yi: A One and a Two ,10,2000,US,Alissa Wilkinson,Christianity Today
Abbas Kiarostami, Like Someone In Love ,1,2012,Australia,Jake Wilson,Fairfax Media
Steven Spielberg, AI: Artificial Intelligence ,2,2001,Australia,Jake Wilson,Fairfax Media
Jacques Rivette, The Story of Marie and Julien ,3,2003,Australia,Jake Wilson,Fairfax Media
Terence Davies, The Deep Blue Sea ,4,2011,Australia,Jake Wilson,Fairfax Media
Jean-Luc Godard, Film socialisme ,5,2010,Australia,Jake Wilson,Fairfax Media
Terrence Malick, The Tree of Life ,6,2011,Australia,Jake Wilson,Fairfax Media
Apichatpong Weerasethakul, Blissfully Yours ,7,2002,Australia,Jake Wilson,Fairfax Media
Michel Gondry, Be Kind Rewind ,8,2008,Australia,Jake Wilson,Fairfax Media
Philippe Garrel, Frontier of Dawn ,9,2008,Australia,Jake Wilson,Fairfax Media
Tsai Ming-liang, I Don't Want to Sleep Alone ,10,2006,Australia,Jake Wilson,Fairfax Media
David Lynch, Mulholland Drive ,1,2001,US,Stephanie Zacharek,Time Magazine
Arnaud Desplechin, Kings and Queen ,2,2004,US,Stephanie Zacharek,Time Magazine
Edward Yang, Yi Yi: A One and a Two ,3,2000,US,Stephanie Zacharek,Time Magazine
Park Chan-wook, Oldboy ,4,2003,US,Stephanie Zacharek,Time Magazine
Lars von Trier, Antichrist ,5,2009,US,Stephanie Zacharek,Time Magazine
Alfonso Cuarón, Children of Men ,6,2006,US,Stephanie Zacharek,Time Magazine
Sofia Coppola, Lost in Translation ,7,2003,US,Stephanie Zacharek,Time Magazine
Brian De Palma, Femme Fatale ,8,2002,US,Stephanie Zacharek,Time Magazine
Martin Campbell, Casino Royale ,9,2006,US,Stephanie Zacharek,Time Magazine
Abdellatif Kechiche, Blue Is the Warmest Color ,10,2013,US,Stephanie Zacharek,Time Magazine
Wong Kar-wai, In the Mood for Love ,1,2000,Qatar,Chadi Zeneddine,Doha Film Institute
Terrence Malick, The Tree of Life ,2,2011,Qatar,Chadi Zeneddine,Doha Film Institute
Jacques Audiard, A Prophet ,3,2009,Qatar,Chadi Zeneddine,Doha Film Institute
Jean-Pierre Jeunet, Amélie ,4,2001,Qatar,Chadi Zeneddine,Doha Film Institute
Hayao Miyazaki, Spirited Away ,5,2001,Qatar,Chadi Zeneddine,Doha Film Institute
Ang Lee, Brokeback Mountain ,6,2005,Qatar,Chadi Zeneddine,Doha Film Institute
Pedro Almodóvar, Talk to Her ,7,2002,Qatar,Chadi Zeneddine,Doha Film Institute
David Lynch, Mulholland Drive ,8,2001,Qatar,Chadi Zeneddine,Doha Film Institute
Michel Gondry, Eternal Sunshine of the Spotless Mind ,9,2004,Qatar,Chadi Zeneddine,Doha Film Institute
Michael Haneke, Amour ,10,2012,Qatar,Chadi Zeneddine,Doha Film Institute
Kim Ki-duk," Spring, Summer, Fall, Winter…and Spring ",1,2003,China,Raymond Zhou,China Daily
Stephen Daldry, The Hours ,2,2002,China,Raymond Zhou,China Daily
Jiang Wen, The Sun Also Rises ,3,2007,China,Raymond Zhou,China Daily
Asghar Farhadi, A Separation ,4,2011,China,Raymond Zhou,China Daily
Ang Lee," Lust, Caution ",5,2007,China,Raymond Zhou,China Daily
Florian Henckel von Donnersmarck, The Lives of Others ,6,2006,China,Raymond Zhou,China Daily
Jia Zhangke, Still Life ,7,2006,China,Raymond Zhou,China Daily
Alejandro González Iñárritu, Birdman ,8,2014,China,Raymond Zhou,China Daily
Andrew Lau and Alan Mak, Infernal Affairs ,9,2002,China,Raymond Zhou,China Daily
Fernando Meirelles and Kátia Lund, City of God ,10,2002,China,Raymond Zhou,China Daily
